"EQID","STATID","mag","rupture_complete","JB_complete","fm_type_code","vs30","rotD50_pga","ev_latitude","ev_longitude","st_latitude","st_longitude","X_ev","Y_ev","X_stat","Y_stat"
3,107,4.93,103.305376393681,102.9,"NF",377.266329,3.0287285,44.5418,6.6932,45.1993,5.776,-159.933571826645,4965.72749812934,-224.438545787209,5046.6473787238
3,108,4.93,104.201875183895,103.8,"NF",194.,3.934626,44.5418,6.6932,45.1815,5.7365,-159.933571826645,4965.72749812934,-227.769243993176,5045.02848446507
3,109,4.93,162.25779115913,162,"NF",353.884069,1.1531225,44.5418,6.6932,45.9341,6.08369,-159.933571826645,4965.72749812934,-191.132625942598,5125.52118829487
3,110,4.93,101.612158681134,101.2,"NF",259.,5.198238,44.5418,6.6932,45.2088,5.821,-159.933571826645,4965.72749812934,-220.783715439414,5047.29637651736
3,111,4.93,104.301489883127,103.9,"NF",599.,1.2751905,44.5418,6.6932,45.2419,5.82181,-159.933571826645,4965.72749812934,-220.29840620051,5050.96561609639
3,112,4.93,111.87421862002,111.5,"NF",763.,0.5096535,44.5418,6.6932,45.5326,6.473,-159.933571826645,4965.72749812934,-165.752567008512,5077.60300714631
3,113,4.93,160.261008332782,160,"NF",389.,1.036703,44.5418,6.6932,45.9204,6.10439,-159.933571826645,4965.72749812934,-189.699695183721,5123.81910785602
3,114,4.93,105.795797609546,105.4,"NF",913.,0.483579,44.5418,6.6932,45.1954,5.7265,-159.933571826645,4965.72749812934,-228.375936429827,5046.6633519384
3,115,4.93,103.106162724834,102.7,"NF",620.,1.002197,44.5418,6.6932,45.137,5.6995,-159.933571826645,4965.72749812934,-231.249745151982,5040.42262149596
3,116,4.93,161.459068471981,161.2,"NF",309.670408,0.569827,44.5418,6.6932,45.9225,6.06319,-159.933571826645,4965.72749812934,-192.866705852726,5124.41223791431
3,117,4.93,107.987734450909,107.6,"NF",380.771589,2.164393,44.5418,6.6932,45.2043,5.6995,-159.933571826645,4965.72749812934,-230.381494845477,5047.89793492466
3,118,4.93,168.648008561738,168.4,"NF",1500.,0.082643,44.5418,6.6932,46.0567,6.75611,-159.933571826645,4965.72749812934,-137.606333672657,5133.48803475334
3,119,4.93,104.899193475641,104.5,"NF",324.553727,2.5572645,44.5418,6.6932,45.193,5.74,-159.933571826645,4965.72749812934,-227.346555274039,5046.27403310729
3,120,4.93,105.297677048642,104.9,"NF",430.863513,4.595851,44.5418,6.6932,43.6706,7.1972,-159.933571826645,4965.72749812934,-129.121672575375,4864.9629673475
4,121,4.63,144.446564514356,144.1,"SS",976.,0.638628,45.66,14.25,46.185738,12.551873,441.571125251817,5056.5458028597,311.073458852175,5117.59795139426
4,122,4.63,75.1681448487323,74.5,"SS",907.668089,1.1914825,45.66,14.25,46.09115,13.514766,441.571125251817,5056.5458028597,385.184356606166,5105.24720212813
4,123,4.63,74.1771528167535,73.5,"SS",768.513963,1.4581925,45.66,14.25,46.1667,13.6417,441.571125251817,5056.5458028597,395.140373617659,5113.46596637871
4,124,4.63,157.71734210289,157.4,"SS",1079.784953,0.4693775,45.66,14.25,46.451317,12.562712,441.571125251817,5056.5458028597,312.81822894122,5147.08030349164
4,125,4.63,156.719367022714,156.4,"SS",873.895124,0.482303,45.66,14.25,46.572498,12.709,441.571125251817,5056.5458028597,324.44354596697,5160.20882436924
4,126,4.63,127.09402031567,126.7,"SS",458.,1.618322,45.66,14.25,46.381482,12.983997,441.571125251817,5056.5458028597,344.973996485668,5138.40905134088
4,127,4.63,175.485156067401,175.2,"SS",326.378925,0.4862925,45.66,14.25,45.8361,12.0131,441.571125251817,5056.5458028597,268.038427325041,5080.17654381833
4,128,4.63,152.727731601042,152.4,"SS",1151.594333,0.610273,45.66,14.25,46.015,12.3552,441.571125251817,5056.5458028597,295.264848818441,5099.11527116908
4,129,4.63,137.065276419668,136.7,"SS",1101.741113,2.14255,45.66,14.25,46.2601,12.7104,441.571125251817,5056.5458028597,323.545531285483,5125.49494810394
4,130,4.63,142.251924415805,141.9,"SS",557.617529,1.774775,45.66,14.25,46.0266,12.5005,441.571125251817,5056.5458028597,306.552817309806,5100.04052115856
4,131,4.63,144.845607458424,144.5,"SS",680.125744,0.456393,45.66,14.25,46.4258,12.7419,441.571125251817,5056.5458028597,326.498343602841,5143.83616800017
4,132,4.63,110.752381464238,110.3,"SS",726.182137,2.871223,45.66,14.25,46.281898,13.1409,441.571125251817,5056.5458028597,356.779476989689,5127.04871473005
5,133,4.36,114.124493427134,113.8,"SS",469.647131,0.2628375,43.6058,11.2405,44.2393,10.1273,196.586121351594,4834.96195721322,110.896435158334,4910.0092681174
5,134,4.36,50.1429955228046,49.4,"SS",1000.,1.454299,43.6058,11.2405,43.747646,11.821428,196.586121351594,4834.96195721322,244.077251675039,4848.75639008936
5,135,4.36,68.7400901948783,68.2,"SS",829.,0.817211,43.6058,11.2405,43.889511,11.991291,196.586121351594,4834.96195721322,258.327775083028,4864.00229200965
5,136,4.36,39.7416657929685,38.8,"SS",857.244383,7.1489215,43.6058,11.2405,43.954205,11.212867,196.586121351594,4834.96195721322,196.128202516278,4873.76215037121
5,137,4.36,158.233877535754,158,"SS",715.963599,0.109936,43.6058,11.2405,44.5304,9.7428,196.586121351594,4834.96195721322,82.2717693215398,4944.24487226286
5,138,4.36,85.0359923796977,84.6,"SS",316.,0.7154065,43.6058,11.2405,43.3683,12.2346,196.586121351594,4834.96195721322,275.94266368116,4805.42967622362
